hour;minute;tweets;related;rainfall (mm/30min);Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min)
20;30;10;0;0.0;0.8695652173913043;1.0;0.45454545454545453;0.0;0.0;0.0
17;0;2;0;0.2;0.7391304347826086;0.0;0.09090909090909091;0.0;0.024813895781637715;0.0
1;0;2;0;0.0;0.043478260869565216;0.0;0.09090909090909091;0.0;0.0;0.0
22;0;2;0;0.0;0.9565217391304348;0.0;0.09090909090909091;0.0;0.0;0.0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0
17;30;1;0;0.0;0.7391304347826086;1.0;0.045454545454545456;0.0;0.0;0.0
12;0;3;0;0.0;0.5217391304347826;0.0;0.13636363636363635;0.0;0.0;0.2
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
23;30;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
15;30;5;0;0.0;0.6521739130434783;1.0;0.22727272727272727;0.0;0.0;0.0
8;30;3;0;0.0;0.34782608695652173;1.0;0.13636363636363635;0.0;0.0;0.0
19;30;1;0;0.0;0.8260869565217391;1.0;0.045454545454545456;0.0;0.0;0.0
10;30;2;0;0.0;0.43478260869565216;1.0;0.09090909090909091;0.0;0.0;0.0
8;0;1;0;0.0;0.34782608695652173;0.0;0.045454545454545456;0.0;0.0;0.0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
17;0;3;0;0.2;0.7391304347826086;0.0;0.13636363636363635;0.0;0.024813895781637715;0.0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0
15;0;5;0;0.0;0.6521739130434783;0.0;0.22727272727272727;0.0;0.0;0.0
18;30;2;0;0.0;0.782608695652174;1.0;0.09090909090909091;0.0;0.0;0.0
18;30;6;0;0.0;0.782608695652174;1.0;0.2727272727272727;0.0;0.0;0.0
21;30;5;0;0.0;0.9130434782608695;1.0;0.22727272727272727;0.0;0.0;0.0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0
21;30;10;0;0.0;0.9130434782608695;1.0;0.45454545454545453;0.0;0.0;0.0
11;30;2;0;0.0;0.4782608695652174;1.0;0.09090909090909091;0.0;0.0;0.0
20;30;1;0;0.0;0.8695652173913043;1.0;0.045454545454545456;0.0;0.0;0.0
11;0;10;1;0.0;0.4782608695652174;0.0;0.45454545454545453;0.5;0.0;0.0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0
11;30;2;0;0.0;0.4782608695652174;1.0;0.09090909090909091;0.0;0.0;0.0
13;30;4;0;0.0;0.5652173913043478;1.0;0.18181818181818182;0.0;0.0;0.0
5;30;1;0;0.0;0.21739130434782608;1.0;0.045454545454545456;0.0;0.0;0.0
18;0;4;0;0.0;0.782608695652174;0.0;0.18181818181818182;0.0;0.0;0.0
22;0;3;0;0.0;0.9565217391304348;0.0;0.13636363636363635;0.0;0.0;0.0
23;0;2;0;0.0;1.0;0.0;0.09090909090909091;0.0;0.0;0.0
15;30;0;0;0.0;0.6521739130434783;1.0;0.0;0.0;0.0;0.0
14;0;2;0;0.0;0.6086956521739131;0.0;0.09090909090909091;0.0;0.0;0.0
11;0;1;0;0.0;0.4782608695652174;0.0;0.045454545454545456;0.0;0.0;0.0
1;0;5;0;0.0;0.043478260869565216;0.0;0.22727272727272727;0.0;0.0;0.0
19;30;0;0;0.0;0.8260869565217391;1.0;0.0;0.0;0.0;0.0
14;30;5;0;0.0;0.6086956521739131;1.0;0.22727272727272727;0.0;0.0;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.2
20;0;4;0;0.0;0.8695652173913043;0.0;0.18181818181818182;0.0;0.0;0.0
0;0;1;0;0.0;0.0;0.0;0.045454545454545456;0.0;0.0;0.0
22;30;0;0;0.0;0.9565217391304348;1.0;0.0;0.0;0.0;0.0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
7;30;0;0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0
19;30;3;0;0.0;0.8260869565217391;1.0;0.13636363636363635;0.0;0.0;0.0
19;30;5;0;0.0;0.8260869565217391;1.0;0.22727272727272727;0.0;0.0;0.0
21;0;4;0;0.2;0.9130434782608695;0.0;0.18181818181818182;0.0;0.024813895781637715;0.0
5;0;2;0;0.0;0.21739130434782608;0.0;0.09090909090909091;0.0;0.0;0.0
18;0;2;0;0.0;0.782608695652174;0.0;0.09090909090909091;0.0;0.0;0.0
22;0;4;0;0.0;0.9565217391304348;0.0;0.18181818181818182;0.0;0.0;0.0
15;30;2;0;0.0;0.6521739130434783;1.0;0.09090909090909091;0.0;0.0;0.0
9;30;1;0;0.0;0.391304347826087;1.0;0.045454545454545456;0.0;0.0;0.0
5;0;3;0;0.2;0.21739130434782608;0.0;0.13636363636363635;0.0;0.024813895781637715;0.0
20;30;8;0;0.2;0.8695652173913043;1.0;0.36363636363636365;0.0;0.024813895781637715;0.0
9;30;1;0;0.0;0.391304347826087;1.0;0.045454545454545456;0.0;0.0;0.0
7;30;0;0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0
14;0;3;0;0.0;0.6086956521739131;0.0;0.13636363636363635;0.0;0.0;0.0
8;30;0;0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
15;0;1;0;0.0;0.6521739130434783;0.0;0.045454545454545456;0.0;0.0;0.0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0
12;0;16;0;0.0;0.5217391304347826;0.0;0.7272727272727273;0.0;0.0;0.0
15;0;0;0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0.0
15;0;4;0;0.0;0.6521739130434783;0.0;0.18181818181818182;0.0;0.0;0.0
22;30;4;0;0.0;0.9565217391304348;1.0;0.18181818181818182;0.0;0.0;0.0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
23;0;3;0;0.0;1.0;0.0;0.13636363636363635;0.0;0.0;0.0
9;0;0;0;0.0;0.391304347826087;0.0;0.0;0.0;0.0;0.0
9;30;3;0;0.0;0.391304347826087;1.0;0.13636363636363635;0.0;0.0;0.0
7;30;1;0;0.0;0.30434782608695654;1.0;0.045454545454545456;0.0;0.0;0.0
13;0;9;0;0.0;0.5652173913043478;0.0;0.4090909090909091;0.0;0.0;0.2
10;30;3;0;0.0;0.43478260869565216;1.0;0.13636363636363635;0.0;0.0;0.0
20;30;3;0;0.0;0.8695652173913043;1.0;0.13636363636363635;0.0;0.0;0.0
0;30;3;0;0.0;0.0;1.0;0.13636363636363635;0.0;0.0;0.0
22;30;3;0;0.0;0.9565217391304348;1.0;0.13636363636363635;0.0;0.0;0.0
11;30;1;0;0.0;0.4782608695652174;1.0;0.045454545454545456;0.0;0.0;0.0
14;0;4;0;0.0;0.6086956521739131;0.0;0.18181818181818182;0.0;0.0;0.0
15;0;1;0;0.0;0.6521739130434783;0.0;0.045454545454545456;0.0;0.0;0.0
8;0;1;0;0.0;0.34782608695652173;0.0;0.045454545454545456;0.0;0.0;0.2
23;30;8;0;0.0;1.0;1.0;0.36363636363636365;0.0;0.0;0.0
20;30;2;0;0.0;0.8695652173913043;1.0;0.09090909090909091;0.0;0.0;0.0
10;0;1;0;0.0;0.43478260869565216;0.0;0.045454545454545456;0.0;0.0;0.0
10;0;2;0;0.0;0.43478260869565216;0.0;0.09090909090909091;0.0;0.0;0.0
11;0;4;0;0.0;0.4782608695652174;0.0;0.18181818181818182;0.0;0.0;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
13;30;1;0;0.0;0.5652173913043478;1.0;0.045454545454545456;0.0;0.0;0.0
3;0;2;0;0.0;0.13043478260869565;0.0;0.09090909090909091;0.0;0.0;0.0
22;30;4;0;0.0;0.9565217391304348;1.0;0.18181818181818182;0.0;0.0;0.2
1;30;2;0;0.0;0.043478260869565216;1.0;0.09090909090909091;0.0;0.0;0.0
18;0;4;0;0.0;0.782608695652174;0.0;0.18181818181818182;0.0;0.0;0.0
2;30;1;0;0.0;0.08695652173913043;1.0;0.045454545454545456;0.0;0.0;0.0
13;30;2;0;0.0;0.5652173913043478;1.0;0.09090909090909091;0.0;0.0;0.0
4;30;0;0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
12;0;5;0;0.0;0.5217391304347826;0.0;0.22727272727272727;0.0;0.0;0.0
22;30;2;0;0.0;0.9565217391304348;1.0;0.09090909090909091;0.0;0.0;0.0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0
14;0;11;0;0.0;0.6086956521739131;0.0;0.5;0.0;0.0;0.0
1;0;1;0;0.0;0.043478260869565216;0.0;0.045454545454545456;0.0;0.0;0.0
23;30;1;0;1.57;1.0;1.0;0.045454545454545456;0.0;0.19478908188585609;0.39
20;0;1;0;0.2;0.8695652173913043;0.0;0.045454545454545456;0.0;0.024813895781637715;0.0
14;30;2;0;0.0;0.6086956521739131;1.0;0.09090909090909091;0.0;0.0;0.0
4;30;3;0;0.0;0.17391304347826086;1.0;0.13636363636363635;0.0;0.0;0.0
12;30;4;0;0.0;0.5217391304347826;1.0;0.18181818181818182;0.0;0.0;0.0
8;30;2;0;0.0;0.34782608695652173;1.0;0.09090909090909091;0.0;0.0;0.0
14;0;4;0;0.0;0.6086956521739131;0.0;0.18181818181818182;0.0;0.0;0.0
0;0;2;0;0.2;0.0;0.0;0.09090909090909091;0.0;0.024813895781637715;0.0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0
1;30;0;0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0
7;30;0;0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0
14;30;9;0;0.0;0.6086956521739131;1.0;0.4090909090909091;0.0;0.0;0.0
11;30;5;0;0.0;0.4782608695652174;1.0;0.22727272727272727;0.0;0.0;0.0
10;0;3;0;0.59;0.43478260869565216;0.0;0.13636363636363635;0.0;0.07320099255583126;0.4
0;0;1;0;0.0;0.0;0.0;0.045454545454545456;0.0;0.0;0.0
1;30;0;0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
4;0;6;0;0.0;0.17391304347826086;0.0;0.2727272727272727;0.0;0.0;0.0
20;30;0;0;0.0;0.8695652173913043;1.0;0.0;0.0;0.0;0.0
15;30;4;0;0.0;0.6521739130434783;1.0;0.18181818181818182;0.0;0.0;0.0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
18;30;6;0;0.0;0.782608695652174;1.0;0.2727272727272727;0.0;0.0;0.0
19;30;3;0;0.0;0.8260869565217391;1.0;0.13636363636363635;0.0;0.0;0.0
13;0;6;0;0.0;0.5652173913043478;0.0;0.2727272727272727;0.0;0.0;0.0
15;30;2;0;0.0;0.6521739130434783;1.0;0.09090909090909091;0.0;0.0;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
22;0;3;0;0.0;0.9565217391304348;0.0;0.13636363636363635;0.0;0.0;0.0
0;30;5;0;0.0;0.0;1.0;0.22727272727272727;0.0;0.0;0.0
4;30;0;0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0
8;30;0;0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0.0
21;0;6;0;0.0;0.9130434782608695;0.0;0.2727272727272727;0.0;0.0;0.0
0;0;2;0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0
4;30;0;0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0
15;0;5;0;0.0;0.6521739130434783;0.0;0.22727272727272727;0.0;0.0;0.0
12;30;8;0;0.0;0.5217391304347826;1.0;0.36363636363636365;0.0;0.0;0.0
22;0;1;0;0.0;0.9565217391304348;0.0;0.045454545454545456;0.0;0.0;0.0
14;0;9;0;0.0;0.6086956521739131;0.0;0.4090909090909091;0.0;0.0;0.0
1;30;1;0;0.2;0.043478260869565216;1.0;0.045454545454545456;0.0;0.024813895781637715;0.0
18;30;3;0;0.0;0.782608695652174;1.0;0.13636363636363635;0.0;0.0;0.0
18;30;3;0;0.0;0.782608695652174;1.0;0.13636363636363635;0.0;0.0;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
15;30;0;0;0.0;0.6521739130434783;1.0;0.0;0.0;0.0;0.0
12;0;4;0;0.0;0.5217391304347826;0.0;0.18181818181818182;0.0;0.0;0.0
18;0;2;0;0.0;0.782608695652174;0.0;0.09090909090909091;0.0;0.0;0.0
11;30;2;0;0.0;0.4782608695652174;1.0;0.09090909090909091;0.0;0.0;0.0
13;0;7;0;0.0;0.5652173913043478;0.0;0.3181818181818182;0.0;0.0;0.0
23;0;4;0;0.0;1.0;0.0;0.18181818181818182;0.0;0.0;0.0
10;0;2;0;0.0;0.43478260869565216;0.0;0.09090909090909091;0.0;0.0;0.0
23;30;1;0;0.0;1.0;1.0;0.045454545454545456;0.0;0.0;0.0
19;0;7;0;0.0;0.8260869565217391;0.0;0.3181818181818182;0.0;0.0;0.0
1;30;1;0;0.0;0.043478260869565216;1.0;0.045454545454545456;0.0;0.0;0.0
18;30;3;0;0.0;0.782608695652174;1.0;0.13636363636363635;0.0;0.0;0.0
9;30;0;0;0.0;0.391304347826087;1.0;0.0;0.0;0.0;0.0
9;0;1;0;0.0;0.391304347826087;0.0;0.045454545454545456;0.0;0.0;0.0
11;0;2;0;0.0;0.4782608695652174;0.0;0.09090909090909091;0.0;0.0;0.0
18;0;0;0;0.0;0.782608695652174;0.0;0.0;0.0;0.0;0.0
16;30;0;0;0.0;0.6956521739130435;1.0;0.0;0.0;0.0;0.0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
9;30;0;0;0.0;0.391304347826087;1.0;0.0;0.0;0.0;0.0
12;30;5;0;0.0;0.5217391304347826;1.0;0.22727272727272727;0.0;0.0;0.0
0;30;2;0;0.0;0.0;1.0;0.09090909090909091;0.0;0.0;0.0
20;30;4;0;0.0;0.8695652173913043;1.0;0.18181818181818182;0.0;0.0;0.0
22;30;5;0;0.0;0.9565217391304348;1.0;0.22727272727272727;0.0;0.0;0.0
4;0;2;0;0.0;0.17391304347826086;0.0;0.09090909090909091;0.0;0.0;0.0
15;30;1;0;0.0;0.6521739130434783;1.0;0.045454545454545456;0.0;0.0;0.0
3;0;1;0;0.0;0.13043478260869565;0.0;0.045454545454545456;0.0;0.0;0.0
19;30;2;0;0.0;0.8260869565217391;1.0;0.09090909090909091;0.0;0.0;0.0
19;0;1;0;0.0;0.8260869565217391;0.0;0.045454545454545456;0.0;0.0;0.0
16;30;2;0;0.0;0.6956521739130435;1.0;0.09090909090909091;0.0;0.0;0.0
16;30;4;0;0.0;0.6956521739130435;1.0;0.18181818181818182;0.0;0.0;0.0
14;0;1;0;0.0;0.6086956521739131;0.0;0.045454545454545456;0.0;0.0;0.0
20;0;7;0;0.0;0.8695652173913043;0.0;0.3181818181818182;0.0;0.0;0.0
16;0;6;0;0.0;0.6956521739130435;0.0;0.2727272727272727;0.0;0.0;0.0
10;0;2;0;0.0;0.43478260869565216;0.0;0.09090909090909091;0.0;0.0;0.0
23;0;2;0;0.2;1.0;0.0;0.09090909090909091;0.0;0.024813895781637715;0.0
7;30;0;0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0
5;30;0;0;0.2;0.21739130434782608;1.0;0.0;0.0;0.024813895781637715;0.0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
8;0;1;0;0.0;0.34782608695652173;0.0;0.045454545454545456;0.0;0.0;0.0
10;30;1;0;0.0;0.43478260869565216;1.0;0.045454545454545456;0.0;0.0;0.0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
4;0;1;0;0.0;0.17391304347826086;0.0;0.045454545454545456;0.0;0.0;0.0
23;30;2;0;0.0;1.0;1.0;0.09090909090909091;0.0;0.0;0.0
17;0;3;0;0.0;0.7391304347826086;0.0;0.13636363636363635;0.0;0.0;0.0
20;30;8;0;0.0;0.8695652173913043;1.0;0.36363636363636365;0.0;0.0;0.0
12;30;3;0;0.0;0.5217391304347826;1.0;0.13636363636363635;0.0;0.0;0.0
22;0;4;0;0.0;0.9565217391304348;0.0;0.18181818181818182;0.0;0.0;0.0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0
7;30;1;0;0.0;0.30434782608695654;1.0;0.045454545454545456;0.0;0.0;0.0
10;0;4;0;0.0;0.43478260869565216;0.0;0.18181818181818182;0.0;0.0;0.0
8;0;1;0;0.0;0.34782608695652173;0.0;0.045454545454545456;0.0;0.0;0.0
14;30;3;0;0.0;0.6086956521739131;1.0;0.13636363636363635;0.0;0.0;0.0
21;0;2;0;0.0;0.9130434782608695;0.0;0.09090909090909091;0.0;0.0;0.0
14;30;5;0;0.0;0.6086956521739131;1.0;0.22727272727272727;0.0;0.0;0.0
10;0;4;0;0.0;0.43478260869565216;0.0;0.18181818181818182;0.0;0.0;0.2
18;0;1;0;0.0;0.782608695652174;0.0;0.045454545454545456;0.0;0.0;0.0
11;0;1;0;0.0;0.4782608695652174;0.0;0.045454545454545456;0.0;0.0;0.0
7;30;2;0;0.0;0.30434782608695654;1.0;0.09090909090909091;0.0;0.0;0.0
21;30;4;0;0.0;0.9130434782608695;1.0;0.18181818181818182;0.0;0.0;0.0
1;30;1;0;0.0;0.043478260869565216;1.0;0.045454545454545456;0.0;0.0;0.0
4;30;0;0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0
18;0;1;0;0.0;0.782608695652174;0.0;0.045454545454545456;0.0;0.0;0.0
5;0;0;0;0.2;0.21739130434782608;0.0;0.0;0.0;0.024813895781637715;0.0
12;0;4;0;0.0;0.5217391304347826;0.0;0.18181818181818182;0.0;0.0;0.0
17;0;0;0;0.0;0.7391304347826086;0.0;0.0;0.0;0.0;0.0
12;30;5;0;0.0;0.5217391304347826;1.0;0.22727272727272727;0.0;0.0;0.0
11;0;0;0;0.0;0.4782608695652174;0.0;0.0;0.0;0.0;0.0
16;0;1;0;0.0;0.6956521739130435;0.0;0.045454545454545456;0.0;0.0;0.0
11;30;2;0;0.0;0.4782608695652174;1.0;0.09090909090909091;0.0;0.0;0.0
23;30;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
16;30;2;0;0.0;0.6956521739130435;1.0;0.09090909090909091;0.0;0.0;0.0
7;0;2;0;0.0;0.30434782608695654;0.0;0.09090909090909091;0.0;0.0;0.0
22;0;8;0;0.2;0.9565217391304348;0.0;0.36363636363636365;0.0;0.024813895781637715;0.0
22;0;3;0;0.0;0.9565217391304348;0.0;0.13636363636363635;0.0;0.0;0.0
23;0;2;0;0.0;1.0;0.0;0.09090909090909091;0.0;0.0;0.0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
3;30;1;0;0.0;0.13043478260869565;1.0;0.045454545454545456;0.0;0.0;0.0
15;0;5;0;0.0;0.6521739130434783;0.0;0.22727272727272727;0.0;0.0;0.0
23;30;1;0;0.0;1.0;1.0;0.045454545454545456;0.0;0.0;0.0
8;0;1;0;0.0;0.34782608695652173;0.0;0.045454545454545456;0.0;0.0;0.0
9;30;1;0;0.0;0.391304347826087;1.0;0.045454545454545456;0.0;0.0;0.0
14;0;0;0;0.0;0.6086956521739131;0.0;0.0;0.0;0.0;0.0
15;30;5;0;0.0;0.6521739130434783;1.0;0.22727272727272727;0.0;0.0;0.0
18;30;3;0;0.0;0.782608695652174;1.0;0.13636363636363635;0.0;0.0;0.0
4;30;1;0;0.2;0.17391304347826086;1.0;0.045454545454545456;0.0;0.024813895781637715;0.2
14;0;0;0;0.0;0.6086956521739131;0.0;0.0;0.0;0.0;0.0
11;30;0;0;0.0;0.4782608695652174;1.0;0.0;0.0;0.0;0.0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0
21;30;0;0;0.0;0.9130434782608695;1.0;0.0;0.0;0.0;0.0
7;0;1;0;0.0;0.30434782608695654;0.0;0.045454545454545456;0.0;0.0;0.0
10;0;4;0;0.0;0.43478260869565216;0.0;0.18181818181818182;0.0;0.0;0.0
4;30;1;0;0.0;0.17391304347826086;1.0;0.045454545454545456;0.0;0.0;0.0
19;0;2;0;0.0;0.8260869565217391;0.0;0.09090909090909091;0.0;0.0;0.0
1;30;0;0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0
23;0;1;0;0.0;1.0;0.0;0.045454545454545456;0.0;0.0;0.0
11;30;7;0;0.0;0.4782608695652174;1.0;0.3181818181818182;0.0;0.0;0.0
0;0;1;0;0.0;0.0;0.0;0.045454545454545456;0.0;0.0;0.0
17;30;2;0;0.0;0.7391304347826086;1.0;0.09090909090909091;0.0;0.0;0.0
2;0;5;0;0.0;0.08695652173913043;0.0;0.22727272727272727;0.0;0.0;0.0
17;0;6;0;0.0;0.7391304347826086;0.0;0.2727272727272727;0.0;0.0;0.0
7;30;0;0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0
9;0;1;0;0.0;0.391304347826087;0.0;0.045454545454545456;0.0;0.0;0.0
18;0;7;0;0.0;0.782608695652174;0.0;0.3181818181818182;0.0;0.0;0.0
23;30;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0
10;30;4;0;0.0;0.43478260869565216;1.0;0.18181818181818182;0.0;0.0;0.0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0
11;30;6;0;0.0;0.4782608695652174;1.0;0.2727272727272727;0.0;0.0;0.0
8;30;0;0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0.0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
13;30;5;0;0.0;0.5652173913043478;1.0;0.22727272727272727;0.0;0.0;0.0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
2;0;1;0;0.0;0.08695652173913043;0.0;0.045454545454545456;0.0;0.0;0.0
0;0;3;0;0.0;0.0;0.0;0.13636363636363635;0.0;0.0;0.0
9;30;3;0;0.0;0.391304347826087;1.0;0.13636363636363635;0.0;0.0;0.0
19;30;4;0;0.0;0.8260869565217391;1.0;0.18181818181818182;0.0;0.0;0.0
14;30;2;0;0.0;0.6086956521739131;1.0;0.09090909090909091;0.0;0.0;0.0
9;30;3;0;0.0;0.391304347826087;1.0;0.13636363636363635;0.0;0.0;0.0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
15;30;0;0;0.0;0.6521739130434783;1.0;0.0;0.0;0.0;0.0
17;0;1;0;0.0;0.7391304347826086;0.0;0.045454545454545456;0.0;0.0;0.0
4;30;0;0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.2
8;0;1;0;0.0;0.34782608695652173;0.0;0.045454545454545456;0.0;0.0;0.0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
2;0;1;0;0.0;0.08695652173913043;0.0;0.045454545454545456;0.0;0.0;0.0
18;0;1;0;0.0;0.782608695652174;0.0;0.045454545454545456;0.0;0.0;0.0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0
5;30;1;0;0.0;0.21739130434782608;1.0;0.045454545454545456;0.0;0.0;0.0
9;0;2;0;0.0;0.391304347826087;0.0;0.09090909090909091;0.0;0.0;0.0
21;30;5;0;0.0;0.9130434782608695;1.0;0.22727272727272727;0.0;0.0;0.0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
15;30;1;0;0.2;0.6521739130434783;1.0;0.045454545454545456;0.0;0.024813895781637715;0.0
9;0;0;0;0.0;0.391304347826087;0.0;0.0;0.0;0.0;0.0
21;30;6;0;0.0;0.9130434782608695;1.0;0.2727272727272727;0.0;0.0;0.0
0;0;3;0;0.0;0.0;0.0;0.13636363636363635;0.0;0.0;0.0
19;0;5;0;0.0;0.8260869565217391;0.0;0.22727272727272727;0.0;0.0;0.0
18;30;4;0;0.0;0.782608695652174;1.0;0.18181818181818182;0.0;0.0;0.0
10;30;3;0;0.0;0.43478260869565216;1.0;0.13636363636363635;0.0;0.0;0.0
4;30;1;0;0.0;0.17391304347826086;1.0;0.045454545454545456;0.0;0.0;0.0
10;0;2;0;0.0;0.43478260869565216;0.0;0.09090909090909091;0.0;0.0;0.0
12;30;5;0;0.0;0.5217391304347826;1.0;0.22727272727272727;0.0;0.0;0.0
10;0;2;0;0.0;0.43478260869565216;0.0;0.09090909090909091;0.0;0.0;0.0
0;0;2;0;0.39;0.0;0.0;0.09090909090909091;0.0;0.04838709677419355;0.2
11;0;1;0;0.0;0.4782608695652174;0.0;0.045454545454545456;0.0;0.0;0.0
18;30;3;0;0.0;0.782608695652174;1.0;0.13636363636363635;0.0;0.0;0.0
16;30;0;0;0.0;0.6956521739130435;1.0;0.0;0.0;0.0;0.0
12;0;5;0;0.0;0.5217391304347826;0.0;0.22727272727272727;0.0;0.0;0.0
18;30;4;0;0.0;0.782608695652174;1.0;0.18181818181818182;0.0;0.0;0.0
17;0;2;0;0.0;0.7391304347826086;0.0;0.09090909090909091;0.0;0.0;0.0
18;30;2;0;0.0;0.782608695652174;1.0;0.09090909090909091;0.0;0.0;0.0
11;0;0;0;0.0;0.4782608695652174;0.0;0.0;0.0;0.0;0.2
10;0;1;0;0.0;0.43478260869565216;0.0;0.045454545454545456;0.0;0.0;0.0
22;30;7;0;0.0;0.9565217391304348;1.0;0.3181818181818182;0.0;0.0;0.0
23;30;4;0;0.0;1.0;1.0;0.18181818181818182;0.0;0.0;0.0
13;30;0;0;0.0;0.5652173913043478;1.0;0.0;0.0;0.0;0.0
0;0;3;0;0.2;0.0;0.0;0.13636363636363635;0.0;0.024813895781637715;0.2
4;30;0;0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0
13;30;0;0;0.0;0.5652173913043478;1.0;0.0;0.0;0.0;0.0
14;0;4;0;0.0;0.6086956521739131;0.0;0.18181818181818182;0.0;0.0;0.0
15;0;1;0;0.0;0.6521739130434783;0.0;0.045454545454545456;0.0;0.0;0.0
13;0;5;0;0.0;0.5652173913043478;0.0;0.22727272727272727;0.0;0.0;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
10;0;1;0;0.0;0.43478260869565216;0.0;0.045454545454545456;0.0;0.0;0.0
14;30;2;0;0.0;0.6086956521739131;1.0;0.09090909090909091;0.0;0.0;0.0
13;30;9;0;0.0;0.5652173913043478;1.0;0.4090909090909091;0.0;0.0;0.0
12;30;4;0;0.0;0.5217391304347826;1.0;0.18181818181818182;0.0;0.0;0.0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.2
