hour;minute;tweets;related;rainfall (mm/30min);Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min)
5;30;0;0;0.2;0.21739130434782608;1.0;0.0;0.0;0.042462845010615716;0.4
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0
16;30;3;0;0.0;0.6956521739130435;1.0;0.15;0.0;0.0;0.0
16;30;0;0;0.0;0.6956521739130435;1.0;0.0;0.0;0.0;0.0
13;0;1;0;0.0;0.5652173913043478;0.0;0.05;0.0;0.0;0.0
18;30;2;0;0.0;0.782608695652174;1.0;0.1;0.0;0.0;0.0
3;0;0;0;0.6;0.13043478260869565;0.0;0.0;0.0;0.12738853503184713;0.6
12;30;1;0;0.0;0.5217391304347826;1.0;0.05;0.0;0.0;0.0
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0
0;0;0;0;0.2;0.0;0.0;0.0;0.0;0.042462845010615716;0.79
0;30;17;0;0.0;0.0;1.0;0.85;0.0;0.0;0.0
8;30;1;0;0.0;0.34782608695652173;1.0;0.05;0.0;0.0;0.0
23;0;6;0;0.0;1.0;0.0;0.3;0.0;0.0;0.0
1;30;0;0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0
12;0;1;0;0.0;0.5217391304347826;0.0;0.05;0.0;0.0;0.0
19;0;1;0;0.0;0.8260869565217391;0.0;0.05;0.0;0.0;0.0
13;0;2;0;0.2;0.5652173913043478;0.0;0.1;0.0;0.042462845010615716;0.0
14;30;1;0;0.0;0.6086956521739131;1.0;0.05;0.0;0.0;0.0
21;0;5;0;0.0;0.9130434782608695;0.0;0.25;0.0;0.0;0.0
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0
8;30;2;0;0.0;0.34782608695652173;1.0;0.1;0.0;0.0;0.0
22;0;1;0;0.0;0.9565217391304348;0.0;0.05;0.0;0.0;0.0
21;30;8;0;0.0;0.9130434782608695;1.0;0.4;0.0;0.0;0.0
2;0;1;0;0.0;0.08695652173913043;0.0;0.05;0.0;0.0;0.0
17;0;0;0;0.0;0.7391304347826086;0.0;0.0;0.0;0.0;0.0
14;30;1;0;0.0;0.6086956521739131;1.0;0.05;0.0;0.0;0.0
6;30;1;0;0.0;0.2608695652173913;1.0;0.05;0.0;0.0;0.0
22;30;4;0;0.0;0.9565217391304348;1.0;0.2;0.0;0.0;0.0
17;0;3;0;0.0;0.7391304347826086;0.0;0.15;0.0;0.0;0.0
4;0;1;0;0.0;0.17391304347826086;0.0;0.05;0.0;0.0;0.0
8;30;2;0;0.0;0.34782608695652173;1.0;0.1;0.0;0.0;0.0
14;0;0;0;0.0;0.6086956521739131;0.0;0.0;0.0;0.0;0.2
6;0;2;0;0.0;0.2608695652173913;0.0;0.1;0.0;0.0;0.0
11;0;1;0;0.0;0.4782608695652174;0.0;0.05;0.0;0.0;0.0
17;0;2;0;0.0;0.7391304347826086;0.0;0.1;0.0;0.0;0.0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
6;30;1;0;0.0;0.2608695652173913;1.0;0.05;0.0;0.0;0.0
2;30;1;0;0.0;0.08695652173913043;1.0;0.05;0.0;0.0;0.0
18;30;3;0;1.17;0.782608695652174;1.0;0.15;0.0;0.2484076433121019;1.17
4;30;0;0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0
13;30;0;0;0.0;0.5652173913043478;1.0;0.0;0.0;0.0;0.0
20;0;1;0;0.0;0.8695652173913043;0.0;0.05;0.0;0.0;0.0
21;30;2;0;0.0;0.9130434782608695;1.0;0.1;0.0;0.0;0.0
3;30;0;0;0.79;0.13043478260869565;1.0;0.0;0.0;0.16772823779193208;1.17
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
15;30;1;0;0.0;0.6521739130434783;1.0;0.05;0.0;0.0;0.0
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0
10;0;1;0;0.0;0.43478260869565216;0.0;0.05;0.0;0.0;0.0
20;0;2;0;0.0;0.8695652173913043;0.0;0.1;0.0;0.0;0.0
0;30;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
3;0;1;0;0.0;0.13043478260869565;0.0;0.05;0.0;0.0;0.0
9;0;0;0;0.0;0.391304347826087;0.0;0.0;0.0;0.0;0.0
1;0;4;0;0.0;0.043478260869565216;0.0;0.2;0.0;0.0;0.0
10;0;1;0;0.0;0.43478260869565216;0.0;0.05;0.0;0.0;0.0
3;30;0;0;0.2;0.13043478260869565;1.0;0.0;0.0;0.042462845010615716;0.4
9;0;0;0;0.0;0.391304347826087;0.0;0.0;0.0;0.0;0.0
0;30;2;0;0.0;0.0;1.0;0.1;0.0;0.0;0.0
16;30;0;0;0.0;0.6956521739130435;1.0;0.0;0.0;0.0;0.0
18;0;0;0;0.2;0.782608695652174;0.0;0.0;0.0;0.042462845010615716;0.0
4;30;0;0;1.37;0.17391304347826086;1.0;0.0;0.0;0.29087048832271767;1.57
10;0;0;0;0.0;0.43478260869565216;0.0;0.0;0.0;0.0;0.0
15;0;0;0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0.0
0;30;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
3;30;1;0;0.0;0.13043478260869565;1.0;0.05;0.0;0.0;0.0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
13;0;0;0;0.0;0.5652173913043478;0.0;0.0;0.0;0.0;0.0
9;30;2;0;0.0;0.391304347826087;1.0;0.1;0.0;0.0;0.0
6;30;1;0;0.0;0.2608695652173913;1.0;0.05;0.0;0.0;0.0
18;0;2;0;0.0;0.782608695652174;0.0;0.1;0.0;0.0;0.0
15;30;2;0;0.0;0.6521739130434783;1.0;0.1;0.0;0.0;0.0
22;30;13;0;0.0;0.9565217391304348;1.0;0.65;0.0;0.0;0.0
7;0;1;0;0.4;0.30434782608695654;0.0;0.05;0.0;0.08492569002123143;0.6
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0
5;0;0;0;0.2;0.21739130434782608;0.0;0.0;0.0;0.042462845010615716;0.2
15;0;4;0;0.0;0.6521739130434783;0.0;0.2;0.0;0.0;0.0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
23;0;2;0;0.0;1.0;0.0;0.1;0.0;0.0;0.0
7;0;3;0;0.0;0.30434782608695654;0.0;0.15;0.0;0.0;0.0
5;0;0;0;0.2;0.21739130434782608;0.0;0.0;0.0;0.042462845010615716;0.0
14;30;0;0;0.0;0.6086956521739131;1.0;0.0;0.0;0.0;0.0
0;0;10;0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
10;0;3;0;0.0;0.43478260869565216;0.0;0.15;0.0;0.0;0.0
13;30;0;0;0.0;0.5652173913043478;1.0;0.0;0.0;0.0;0.0
16;0;5;0;0.0;0.6956521739130435;0.0;0.25;0.0;0.0;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
10;30;1;0;0.0;0.43478260869565216;1.0;0.05;0.0;0.0;0.0
12;30;2;0;0.0;0.5217391304347826;1.0;0.1;0.0;0.0;0.0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0
11;30;1;0;0.0;0.4782608695652174;1.0;0.05;0.0;0.0;0.0
22;30;2;0;0.0;0.9565217391304348;1.0;0.1;0.0;0.0;0.0
13;0;1;0;0.0;0.5652173913043478;0.0;0.05;0.0;0.0;0.0
20;30;0;0;0.2;0.8695652173913043;1.0;0.0;0.0;0.042462845010615716;0.2
9;30;3;0;0.0;0.391304347826087;1.0;0.15;0.0;0.0;0.0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0
22;0;1;0;0.0;0.9565217391304348;0.0;0.05;0.0;0.0;0.0
22;0;2;0;0.0;0.9565217391304348;0.0;0.1;0.0;0.0;0.0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0
7;30;2;0;0.0;0.30434782608695654;1.0;0.1;0.0;0.0;0.0
18;0;0;0;0.0;0.782608695652174;0.0;0.0;0.0;0.0;0.0
15;0;3;0;0.0;0.6521739130434783;0.0;0.15;0.0;0.0;0.0
1;30;8;0;0.0;0.043478260869565216;1.0;0.4;0.0;0.0;0.0
12;30;1;0;0.0;0.5217391304347826;1.0;0.05;0.0;0.0;0.0
1;30;0;0;0.6;0.043478260869565216;1.0;0.0;0.0;0.12738853503184713;0.79
4;30;0;0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0
0;30;1;0;0.0;0.0;1.0;0.05;0.0;0.0;0.0
9;30;3;0;0.0;0.391304347826087;1.0;0.15;0.0;0.0;0.0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0
21;30;8;0;0.0;0.9130434782608695;1.0;0.4;0.0;0.0;0.0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0
23;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
18;0;3;0;0.0;0.782608695652174;0.0;0.15;0.0;0.0;0.0
20;30;0;0;0.98;0.8695652173913043;1.0;0.0;0.0;0.208067940552017;0.98
4;30;1;0;0.0;0.17391304347826086;1.0;0.05;0.0;0.0;0.0
12;30;0;0;0.0;0.5217391304347826;1.0;0.0;0.0;0.0;0.0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
17;30;2;0;0.0;0.7391304347826086;1.0;0.1;0.0;0.0;0.0
14;0;0;0;0.2;0.6086956521739131;0.0;0.0;0.0;0.042462845010615716;0.0
4;30;0;0;0.0;0.17391304347826086;1.0;0.0;0.0;0.0;0.0
14;30;0;0;0.0;0.6086956521739131;1.0;0.0;0.0;0.0;0.0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
17;30;3;0;0.0;0.7391304347826086;1.0;0.15;0.0;0.0;0.0
8;30;0;0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0.0
11;30;1;0;0.0;0.4782608695652174;1.0;0.05;0.0;0.0;0.0
10;0;1;0;0.0;0.43478260869565216;0.0;0.05;0.0;0.0;0.0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0
0;30;2;0;0.0;0.0;1.0;0.1;0.0;0.0;0.0
20;30;11;0;0.0;0.8695652173913043;1.0;0.55;0.0;0.0;0.0
14;30;1;0;0.0;0.6086956521739131;1.0;0.05;0.0;0.0;0.0
0;0;1;0;0.0;0.0;0.0;0.05;0.0;0.0;0.0
3;0;1;0;0.0;0.13043478260869565;0.0;0.05;0.0;0.0;0.0
13;30;0;0;0.0;0.5652173913043478;1.0;0.0;0.0;0.0;0.0
22;30;1;0;0.0;0.9565217391304348;1.0;0.05;0.0;0.0;0.0
9;0;1;0;0.0;0.391304347826087;0.0;0.05;0.0;0.0;0.0
11;30;1;0;0.0;0.4782608695652174;1.0;0.05;0.0;0.0;0.0
23;30;2;0;0.0;1.0;1.0;0.1;0.0;0.0;0.0
10;30;1;0;0.0;0.43478260869565216;1.0;0.05;0.0;0.0;0.0
22;0;0;0;0.0;0.9565217391304348;0.0;0.0;0.0;0.0;0.0
15;30;1;0;0.0;0.6521739130434783;1.0;0.05;0.0;0.0;0.0
7;30;0;0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0
8;0;1;0;0.0;0.34782608695652173;0.0;0.05;0.0;0.0;0.0
17;0;2;0;0.0;0.7391304347826086;0.0;0.1;0.0;0.0;0.0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
14;30;2;0;1.17;0.6086956521739131;1.0;0.1;0.0;0.2484076433121019;0.98
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
19;30;1;0;0.2;0.8260869565217391;1.0;0.05;0.0;0.042462845010615716;0.0
18;30;0;0;0.0;0.782608695652174;1.0;0.0;0.0;0.0;0.0
19;30;2;0;0.0;0.8260869565217391;1.0;0.1;0.0;0.0;0.0
15;0;0;0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0.0
18;30;2;0;0.0;0.782608695652174;1.0;0.1;0.0;0.0;0.0
14;0;2;0;0.0;0.6086956521739131;0.0;0.1;0.0;0.0;0.0
8;30;0;0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0.0
23;30;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
0;30;3;0;0.0;0.0;1.0;0.15;0.0;0.0;0.0
20;30;0;0;0.0;0.8695652173913043;1.0;0.0;0.0;0.0;0.0
22;30;9;0;0.0;0.9565217391304348;1.0;0.45;0.0;0.0;0.0
13;30;7;0;0.0;0.5652173913043478;1.0;0.35;0.0;0.0;0.0
1;30;2;0;0.0;0.043478260869565216;1.0;0.1;0.0;0.0;0.0
22;30;1;0;0.0;0.9565217391304348;1.0;0.05;0.0;0.0;0.0
1;30;0;0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0
15;30;4;0;0.0;0.6521739130434783;1.0;0.2;0.0;0.0;0.0
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0
2;0;1;0;0.0;0.08695652173913043;0.0;0.05;0.0;0.0;0.0
16;0;0;0;0.0;0.6956521739130435;0.0;0.0;0.0;0.0;0.0
10;30;2;0;0.0;0.43478260869565216;1.0;0.1;0.0;0.0;0.0
18;0;1;0;0.0;0.782608695652174;0.0;0.05;0.0;0.0;0.0
16;30;1;0;0.0;0.6956521739130435;1.0;0.05;0.0;0.0;0.0
1;0;2;0;0.0;0.043478260869565216;0.0;0.1;0.0;0.0;0.0
19;30;0;0;0.59;0.8260869565217391;1.0;0.0;0.0;0.12526539278131635;0.98
16;0;1;0;0.0;0.6956521739130435;0.0;0.05;0.0;0.0;0.0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
