hour;minute;tweets;related;rainfall (mm/30min);Normalized hour;Normalized minute;Normalized tweets;Normalized related;Normalized rainfall (mm/30min);Next batch rainfall (mm/30min)
9;30;0;0;0.2;0.391304347826087;1.0;0.0;0.0;0.12738853503184713;0.2
11;30;4;0;0.0;0.4782608695652174;1.0;0.125;0.0;0.0;0.0
20;0;4;0;0.0;0.8695652173913043;0.0;0.125;0.0;0.0;0.0
18;0;1;0;0.0;0.782608695652174;0.0;0.03125;0.0;0.0;0.0
20;0;3;0;0.2;0.8695652173913043;0.0;0.09375;0.0;0.12738853503184713;0.2
6;30;1;0;0.2;0.2608695652173913;1.0;0.03125;0.0;0.12738853503184713;0.2
21;0;0;0;0.0;0.9130434782608695;0.0;0.0;0.0;0.0;0.0
12;0;2;0;0.0;0.5217391304347826;0.0;0.0625;0.0;0.0;0.0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
13;0;1;0;0.0;0.5652173913043478;0.0;0.03125;0.0;0.0;0.0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.2
11;0;1;0;0.0;0.4782608695652174;0.0;0.03125;0.0;0.0;0.0
18;0;5;0;0.0;0.782608695652174;0.0;0.15625;0.0;0.0;0.0
16;0;2;0;0.2;0.6956521739130435;0.0;0.0625;0.0;0.12738853503184713;0.2
3;0;0;0;1.17;0.13043478260869565;0.0;0.0;0.0;0.7452229299363057;1.37
19;30;1;0;0.0;0.8260869565217391;1.0;0.03125;0.0;0.0;0.0
10;0;1;0;0.0;0.43478260869565216;0.0;0.03125;0.0;0.0;0.0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0
17;0;3;0;0.0;0.7391304347826086;0.0;0.09375;0.0;0.0;0.0
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.2
11;30;2;0;0.0;0.4782608695652174;1.0;0.0625;0.0;0.0;0.0
13;0;3;0;0.0;0.5652173913043478;0.0;0.09375;0.0;0.0;0.0
23;0;1;0;0.0;1.0;0.0;0.03125;0.0;0.0;0.0
7;30;1;0;0.0;0.30434782608695654;1.0;0.03125;0.0;0.0;0.0
23;30;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
16;30;1;0;0.0;0.6956521739130435;1.0;0.03125;0.0;0.0;0.0
21;30;1;0;0.0;0.9130434782608695;1.0;0.03125;0.0;0.0;0.0
22;30;0;0;0.0;0.9565217391304348;1.0;0.0;0.0;0.0;0.0
10;30;4;0;0.2;0.43478260869565216;1.0;0.125;0.0;0.12738853503184713;0.4
9;0;1;0;0.0;0.391304347826087;0.0;0.03125;0.0;0.0;0.0
9;30;0;0;0.0;0.391304347826087;1.0;0.0;0.0;0.0;0.0
1;0;1;0;0.0;0.043478260869565216;0.0;0.03125;0.0;0.0;0.0
18;30;1;0;0.0;0.782608695652174;1.0;0.03125;0.0;0.0;0.0
16;0;1;0;0.0;0.6956521739130435;0.0;0.03125;0.0;0.0;0.0
2;30;1;0;0.0;0.08695652173913043;1.0;0.03125;0.0;0.0;0.0
10;0;3;0;0.0;0.43478260869565216;0.0;0.09375;0.0;0.0;0.0
20;0;0;0;0.0;0.8695652173913043;0.0;0.0;0.0;0.0;0.0
16;0;3;0;0.0;0.6956521739130435;0.0;0.09375;0.0;0.0;0.0
1;30;0;0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0
8;30;1;0;0.0;0.34782608695652173;1.0;0.03125;0.0;0.0;0.0
4;0;0;0;0.2;0.17391304347826086;0.0;0.0;0.0;0.12738853503184713;0.2
7;0;0;0;0.6;0.30434782608695654;0.0;0.0;0.0;0.38216560509554137;0.6
16;0;1;0;0.0;0.6956521739130435;0.0;0.03125;0.0;0.0;0.0
16;0;0;0;0.0;0.6956521739130435;0.0;0.0;0.0;0.0;0.0
18;0;2;0;0.0;0.782608695652174;0.0;0.0625;0.0;0.0;0.0
6;0;1;0;0.0;0.2608695652173913;0.0;0.03125;0.0;0.0;0.0
10;30;1;0;0.0;0.43478260869565216;1.0;0.03125;0.0;0.0;0.0
21;0;1;0;0.0;0.9130434782608695;0.0;0.03125;0.0;0.0;0.0
12;0;3;0;0.0;0.5217391304347826;0.0;0.09375;0.0;0.0;0.2
4;0;3;0;0.0;0.17391304347826086;0.0;0.09375;0.0;0.0;0.0
15;30;2;0;0.0;0.6521739130434783;1.0;0.0625;0.0;0.0;0.0
14;30;1;0;0.0;0.6086956521739131;1.0;0.03125;0.0;0.0;0.0
5;0;3;0;0.0;0.21739130434782608;0.0;0.09375;0.0;0.0;0.0
14;30;0;0;0.0;0.6086956521739131;1.0;0.0;0.0;0.0;0.0
0;30;0;0;0.4;0.0;1.0;0.0;0.0;0.25477707006369427;0.4
8;30;0;0;0.2;0.34782608695652173;1.0;0.0;0.0;0.12738853503184713;0.2
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
1;0;2;0;0.0;0.043478260869565216;0.0;0.0625;0.0;0.0;0.0
16;0;0;0;0.0;0.6956521739130435;0.0;0.0;0.0;0.0;0.0
9;30;1;0;0.0;0.391304347826087;1.0;0.03125;0.0;0.0;0.2
9;30;0;0;0.79;0.391304347826087;1.0;0.0;0.0;0.5031847133757962;0.79
15;0;1;0;0.0;0.6521739130434783;0.0;0.03125;0.0;0.0;0.0
15;0;2;0;0.0;0.6521739130434783;0.0;0.0625;0.0;0.0;0.0
16;0;0;0;0.0;0.6956521739130435;0.0;0.0;0.0;0.0;0.2
15;0;1;0;0.2;0.6521739130434783;0.0;0.03125;0.0;0.12738853503184713;0.0
7;0;1;0;1.37;0.30434782608695654;0.0;0.03125;0.0;0.8726114649681529;0.98
8;30;1;0;0.0;0.34782608695652173;1.0;0.03125;0.0;0.0;0.0
12;0;6;0;0.0;0.5217391304347826;0.0;0.1875;0.0;0.0;0.0
1;0;1;0;0.0;0.043478260869565216;0.0;0.03125;0.0;0.0;0.0
17;30;0;0;0.0;0.7391304347826086;1.0;0.0;0.0;0.0;0.0
10;30;0;0;0.0;0.43478260869565216;1.0;0.0;0.0;0.0;0.0
20;0;5;0;0.0;0.8695652173913043;0.0;0.15625;0.0;0.0;0.0
1;30;0;0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0
1;30;0;0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0
18;30;2;0;0.4;0.782608695652174;1.0;0.0625;0.0;0.25477707006369427;0.4
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0
16;30;0;0;0.0;0.6956521739130435;1.0;0.0;0.0;0.0;0.0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0
14;30;1;0;0.0;0.6086956521739131;1.0;0.03125;0.0;0.0;0.0
11;30;0;0;0.0;0.4782608695652174;1.0;0.0;0.0;0.0;0.0
23;0;3;0;0.0;1.0;0.0;0.09375;0.0;0.0;0.0
10;0;1;0;0.0;0.43478260869565216;0.0;0.03125;0.0;0.0;0.0
10;0;2;0;0.0;0.43478260869565216;0.0;0.0625;0.0;0.0;0.0
20;0;0;0;0.2;0.8695652173913043;0.0;0.0;0.0;0.12738853503184713;0.2
11;30;2;0;0.0;0.4782608695652174;1.0;0.0625;0.0;0.0;0.0
5;0;1;0;0.0;0.21739130434782608;0.0;0.03125;0.0;0.0;0.0
12;0;0;0;0.0;0.5217391304347826;0.0;0.0;0.0;0.0;0.0
5;30;0;0;1.57;0.21739130434782608;1.0;0.0;0.0;1.0;1.57
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
14;0;3;0;0.0;0.6086956521739131;0.0;0.09375;0.0;0.0;0.0
1;30;0;0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.0
17;30;1;0;0.0;0.7391304347826086;1.0;0.03125;0.0;0.0;0.0
23;0;3;0;0.0;1.0;0.0;0.09375;0.0;0.0;0.0
13;30;4;0;0.0;0.5652173913043478;1.0;0.125;0.0;0.0;0.0
13;0;14;0;0.0;0.5652173913043478;0.0;0.4375;0.0;0.0;0.0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0
1;30;1;0;0.0;0.043478260869565216;1.0;0.03125;0.0;0.0;0.0
17;0;2;0;0.0;0.7391304347826086;0.0;0.0625;0.0;0.0;0.0
23;30;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
15;30;2;0;0.0;0.6521739130434783;1.0;0.0625;0.0;0.0;0.0
3;0;3;0;0.0;0.13043478260869565;0.0;0.09375;0.0;0.0;0.0
7;30;3;0;0.0;0.30434782608695654;1.0;0.09375;0.0;0.0;0.0
0;30;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
14;0;0;0;0.79;0.6086956521739131;0.0;0.0;0.0;0.5031847133757962;0.4
21;0;3;0;0.0;0.9130434782608695;0.0;0.09375;0.0;0.0;0.0
19;0;6;0;0.0;0.8260869565217391;0.0;0.1875;0.0;0.0;0.0
1;30;0;0;0.2;0.043478260869565216;1.0;0.0;0.0;0.12738853503184713;0.2
15;0;0;0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0.0
20;0;1;0;0.0;0.8695652173913043;0.0;0.03125;0.0;0.0;0.0
6;0;5;0;0.0;0.2608695652173913;0.0;0.15625;0.0;0.0;0.0
17;0;2;0;0.0;0.7391304347826086;0.0;0.0625;0.0;0.0;0.0
14;30;0;0;0.0;0.6086956521739131;1.0;0.0;0.0;0.0;0.2
2;30;0;0;0.2;0.08695652173913043;1.0;0.0;0.0;0.12738853503184713;0.0
0;30;3;0;0.0;0.0;1.0;0.09375;0.0;0.0;0.0
20;0;0;0;0.0;0.8695652173913043;0.0;0.0;0.0;0.0;0.0
14;30;0;0;0.0;0.6086956521739131;1.0;0.0;0.0;0.0;0.0
23;0;1;0;0.0;1.0;0.0;0.03125;0.0;0.0;0.0
19;0;0;0;0.4;0.8260869565217391;0.0;0.0;0.0;0.25477707006369427;0.0
10;30;0;0;0.0;0.43478260869565216;1.0;0.0;0.0;0.0;0.0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
10;30;2;0;0.0;0.43478260869565216;1.0;0.0625;0.0;0.0;0.0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
4;0;16;0;0.0;0.17391304347826086;0.0;0.5;0.0;0.0;0.0
23;0;3;0;0.0;1.0;0.0;0.09375;0.0;0.0;0.0
12;30;5;0;0.79;0.5217391304347826;1.0;0.15625;0.0;0.5031847133757962;0.6
23;0;0;0;0.2;1.0;0.0;0.0;0.0;0.12738853503184713;0.2
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
22;0;0;0;0.0;0.9565217391304348;0.0;0.0;0.0;0.0;0.0
20;30;0;0;0.0;0.8695652173913043;1.0;0.0;0.0;0.0;0.0
19;0;1;0;0.0;0.8260869565217391;0.0;0.03125;0.0;0.0;0.0
22;0;0;0;0.0;0.9565217391304348;0.0;0.0;0.0;0.0;0.0
0;30;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
10;30;0;0;0.98;0.43478260869565216;1.0;0.0;0.0;0.6242038216560509;0.79
6;30;3;0;0.0;0.2608695652173913;1.0;0.09375;0.0;0.0;0.0
6;0;0;0;0.2;0.2608695652173913;0.0;0.0;0.0;0.12738853503184713;0.0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
16;30;1;0;0.0;0.6956521739130435;1.0;0.03125;0.0;0.0;0.0
17;0;3;0;0.0;0.7391304347826086;0.0;0.09375;0.0;0.0;0.0
0;30;1;0;0.0;0.0;1.0;0.03125;0.0;0.0;0.0
18;0;0;0;0.2;0.782608695652174;0.0;0.0;0.0;0.12738853503184713;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
23;30;2;0;0.0;1.0;1.0;0.0625;0.0;0.0;0.0
15;30;7;0;0.0;0.6521739130434783;1.0;0.21875;0.0;0.0;0.0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
10;30;2;0;0.0;0.43478260869565216;1.0;0.0625;0.0;0.0;0.0
19;30;0;0;0.0;0.8260869565217391;1.0;0.0;0.0;0.0;0.2
9;0;0;0;0.0;0.391304347826087;0.0;0.0;0.0;0.0;0.0
16;30;1;0;0.0;0.6956521739130435;1.0;0.03125;0.0;0.0;0.0
18;30;0;0;0.0;0.782608695652174;1.0;0.0;0.0;0.0;0.0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
1;0;0;0;1.37;0.043478260869565216;0.0;0.0;0.0;0.8726114649681529;1.37
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
23;30;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
23;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
14;0;0;0;0.0;0.6086956521739131;0.0;0.0;0.0;0.0;0.0
21;30;1;0;0.0;0.9130434782608695;1.0;0.03125;0.0;0.0;0.2
14;30;1;0;0.0;0.6086956521739131;1.0;0.03125;0.0;0.0;0.0
15;30;0;0;0.0;0.6521739130434783;1.0;0.0;0.0;0.0;0.0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
22;0;1;0;0.0;0.9565217391304348;0.0;0.03125;0.0;0.0;0.2
9;30;1;0;0.0;0.391304347826087;1.0;0.03125;0.0;0.0;0.0
8;0;0;0;0.79;0.34782608695652173;0.0;0.0;0.0;0.5031847133757962;0.98
23;30;1;0;0.2;1.0;1.0;0.03125;0.0;0.12738853503184713;0.4
16;0;4;0;0.0;0.6956521739130435;0.0;0.125;0.0;0.0;0.0
0;0;3;0;0.0;0.0;0.0;0.09375;0.0;0.0;0.0
13;30;1;0;0.79;0.5652173913043478;1.0;0.03125;0.0;0.5031847133757962;0.6
5;30;4;0;0.0;0.21739130434782608;1.0;0.125;0.0;0.0;0.0
11;0;0;0;0.0;0.4782608695652174;0.0;0.0;0.0;0.0;0.0
21;30;1;0;0.0;0.9130434782608695;1.0;0.03125;0.0;0.0;0.0
2;0;1;0;0.0;0.08695652173913043;0.0;0.03125;0.0;0.0;0.0
17;0;2;0;0.0;0.7391304347826086;0.0;0.0625;0.0;0.0;0.0
23;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
9;30;1;0;0.0;0.391304347826087;1.0;0.03125;0.0;0.0;0.0
8;0;0;0;0.0;0.34782608695652173;0.0;0.0;0.0;0.0;0.0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.2
21;0;3;0;0.0;0.9130434782608695;0.0;0.09375;0.0;0.0;0.0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
12;30;2;0;0.0;0.5217391304347826;1.0;0.0625;0.0;0.0;0.0
14;0;2;0;0.2;0.6086956521739131;0.0;0.0625;0.0;0.12738853503184713;0.0
2;0;1;0;0.0;0.08695652173913043;0.0;0.03125;0.0;0.0;0.0
22;0;1;0;0.0;0.9565217391304348;0.0;0.03125;0.0;0.0;0.0
0;30;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
22;30;0;0;0.0;0.9565217391304348;1.0;0.0;0.0;0.0;0.0
16;30;8;0;0.0;0.6956521739130435;1.0;0.25;0.0;0.0;0.0
17;30;2;0;0.0;0.7391304347826086;1.0;0.0625;0.0;0.0;0.0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
14;30;2;0;0.0;0.6086956521739131;1.0;0.0625;0.0;0.0;0.0
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
15;30;0;0;0.0;0.6521739130434783;1.0;0.0;0.0;0.0;0.0
11;30;3;0;0.0;0.4782608695652174;1.0;0.09375;0.0;0.0;0.0
15;0;3;0;0.2;0.6521739130434783;0.0;0.09375;0.0;0.12738853503184713;0.0
5;30;1;0;0.0;0.21739130434782608;1.0;0.03125;0.0;0.0;0.0
8;30;1;0;0.0;0.34782608695652173;1.0;0.03125;0.0;0.0;0.0
11;30;1;0;0.0;0.4782608695652174;1.0;0.03125;0.0;0.0;0.0
16;30;2;0;0.4;0.6956521739130435;1.0;0.0625;0.0;0.25477707006369427;0.4
2;0;0;0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0
20;30;0;0;0.0;0.8695652173913043;1.0;0.0;0.0;0.0;0.0
16;0;2;0;0.0;0.6956521739130435;0.0;0.0625;0.0;0.0;0.2
16;0;2;0;0.0;0.6956521739130435;0.0;0.0625;0.0;0.0;0.0
16;0;0;0;0.0;0.6956521739130435;0.0;0.0;0.0;0.0;0.0
11;0;0;0;0.4;0.4782608695652174;0.0;0.0;0.0;0.25477707006369427;0.4
16;30;2;0;0.0;0.6956521739130435;1.0;0.0625;0.0;0.0;0.0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
18;0;0;0;0.0;0.782608695652174;0.0;0.0;0.0;0.0;0.0
0;0;0;0;0.4;0.0;0.0;0.0;0.0;0.25477707006369427;0.4
6;0;0;0;1.57;0.2608695652173913;0.0;0.0;0.0;1.0;1.37
14;30;6;0;0.0;0.6086956521739131;1.0;0.1875;0.0;0.0;0.0
23;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0
12;30;1;0;0.0;0.5217391304347826;1.0;0.03125;0.0;0.0;0.0
7;30;0;0;0.0;0.30434782608695654;1.0;0.0;0.0;0.0;0.0
0;0;6;0;0.0;0.0;0.0;0.1875;0.0;0.0;0.0
12;30;2;0;0.0;0.5217391304347826;1.0;0.0625;0.0;0.0;0.0
20;30;0;0;0.2;0.8695652173913043;1.0;0.0;0.0;0.12738853503184713;0.4
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
21;0;2;0;0.0;0.9130434782608695;0.0;0.0625;0.0;0.0;0.0
7;0;1;0;0.0;0.30434782608695654;0.0;0.03125;0.0;0.0;0.0
18;30;1;0;0.0;0.782608695652174;1.0;0.03125;0.0;0.0;0.0
2;30;13;0;0.0;0.08695652173913043;1.0;0.40625;0.0;0.0;0.0
20;30;1;0;0.0;0.8695652173913043;1.0;0.03125;0.0;0.0;0.0
3;0;5;0;0.0;0.13043478260869565;0.0;0.15625;0.0;0.0;0.0
15;30;3;0;0.0;0.6521739130434783;1.0;0.09375;0.0;0.0;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
7;30;1;0;0.2;0.30434782608695654;1.0;0.03125;0.0;0.12738853503184713;0.2
7;30;1;0;0.0;0.30434782608695654;1.0;0.03125;0.0;0.0;0.0
19;30;1;0;0.0;0.8260869565217391;1.0;0.03125;0.0;0.0;0.0
19;0;6;0;0.0;0.8260869565217391;0.0;0.1875;0.0;0.0;0.0
14;0;3;0;0.0;0.6086956521739131;0.0;0.09375;0.0;0.0;0.2
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.2
21;30;0;0;0.0;0.9130434782608695;1.0;0.0;0.0;0.0;0.0
12;30;1;0;0.0;0.5217391304347826;1.0;0.03125;0.0;0.0;0.0
16;0;3;0;0.0;0.6956521739130435;0.0;0.09375;0.0;0.0;0.0
20;0;1;0;0.0;0.8695652173913043;0.0;0.03125;0.0;0.0;0.0
14;30;1;0;0.0;0.6086956521739131;1.0;0.03125;0.0;0.0;0.0
19;0;11;0;0.0;0.8260869565217391;0.0;0.34375;0.0;0.0;0.0
1;0;12;0;0.0;0.043478260869565216;0.0;0.375;0.0;0.0;0.2
17;0;7;0;0.0;0.7391304347826086;0.0;0.21875;0.0;0.0;0.0
16;30;2;0;0.0;0.6956521739130435;1.0;0.0625;0.0;0.0;0.0
4;30;0;0;1.37;0.17391304347826086;1.0;0.0;0.0;0.8726114649681529;1.57
23;30;3;0;0.0;1.0;1.0;0.09375;0.0;0.0;0.0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
16;0;0;0;0.4;0.6956521739130435;0.0;0.0;0.0;0.25477707006369427;0.4
13;30;5;0;0.0;0.5652173913043478;1.0;0.15625;0.0;0.0;0.0
18;0;1;0;0.0;0.782608695652174;0.0;0.03125;0.0;0.0;0.0
1;30;0;0;0.0;0.043478260869565216;1.0;0.0;0.0;0.0;0.2
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0
2;30;0;0;0.0;0.08695652173913043;1.0;0.0;0.0;0.0;0.0
10;0;1;0;0.0;0.43478260869565216;0.0;0.03125;0.0;0.0;0.0
10;0;3;0;0.0;0.43478260869565216;0.0;0.09375;0.0;0.0;0.0
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
14;0;2;0;0.0;0.6086956521739131;0.0;0.0625;0.0;0.0;0.0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
3;30;0;0;0.2;0.13043478260869565;1.0;0.0;0.0;0.12738853503184713;0.2
17;30;0;0;0.4;0.7391304347826086;1.0;0.0;0.0;0.25477707006369427;0.4
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.2
20;0;0;0;0.0;0.8695652173913043;0.0;0.0;0.0;0.0;0.0
8;30;3;0;0.0;0.34782608695652173;1.0;0.09375;0.0;0.0;0.0
7;0;0;0;0.0;0.30434782608695654;0.0;0.0;0.0;0.0;0.0
3;0;0;0;0.0;0.13043478260869565;0.0;0.0;0.0;0.0;0.0
15;30;3;0;0.0;0.6521739130434783;1.0;0.09375;0.0;0.0;0.0
1;30;0;0;1.37;0.043478260869565216;1.0;0.0;0.0;0.8726114649681529;1.17
10;0;1;0;0.0;0.43478260869565216;0.0;0.03125;0.0;0.0;0.0
16;30;2;0;0.0;0.6956521739130435;1.0;0.0625;0.0;0.0;0.0
0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.2
17;30;1;0;0.0;0.7391304347826086;1.0;0.03125;0.0;0.0;0.0
13;0;0;0;0.0;0.5652173913043478;0.0;0.0;0.0;0.0;0.0
17;0;3;0;0.0;0.7391304347826086;0.0;0.09375;0.0;0.0;0.0
1;0;0;0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0
18;30;11;0;0.2;0.782608695652174;1.0;0.34375;0.0;0.12738853503184713;0.0
15;30;0;0;0.0;0.6521739130434783;1.0;0.0;0.0;0.0;0.0
11;30;1;0;0.98;0.4782608695652174;1.0;0.03125;0.0;0.6242038216560509;0.98
22;0;0;0;0.6;0.9565217391304348;0.0;0.0;0.0;0.38216560509554137;1.17
16;30;1;0;0.0;0.6956521739130435;1.0;0.03125;0.0;0.0;0.0
0;30;2;0;0.0;0.0;1.0;0.0625;0.0;0.0;0.0
22;0;2;0;0.0;0.9565217391304348;0.0;0.0625;0.0;0.0;0.0
4;0;0;0;0.0;0.17391304347826086;0.0;0.0;0.0;0.0;0.0
15;0;0;0;0.0;0.6521739130434783;0.0;0.0;0.0;0.0;0.0
22;0;1;0;0.6;0.9565217391304348;0.0;0.03125;0.0;0.38216560509554137;0.79
3;30;0;0;0.0;0.13043478260869565;1.0;0.0;0.0;0.0;0.0
5;30;0;0;0.0;0.21739130434782608;1.0;0.0;0.0;0.0;0.0
2;0;4;0;0.0;0.08695652173913043;0.0;0.125;0.0;0.0;0.0
17;30;3;0;0.0;0.7391304347826086;1.0;0.09375;0.0;0.0;0.0
14;0;2;0;0.0;0.6086956521739131;0.0;0.0625;0.0;0.0;0.0
0;30;32;0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
18;0;0;0;0.0;0.782608695652174;0.0;0.0;0.0;0.0;0.2
13;30;1;0;0.0;0.5652173913043478;1.0;0.03125;0.0;0.0;0.0
3;30;2;0;0.0;0.13043478260869565;1.0;0.0625;0.0;0.0;0.0
12;30;1;0;0.0;0.5217391304347826;1.0;0.03125;0.0;0.0;0.0
21;30;2;0;0.0;0.9130434782608695;1.0;0.0625;0.0;0.0;0.0
8;30;0;0;0.0;0.34782608695652173;1.0;0.0;0.0;0.0;0.0
3;30;9;0;0.0;0.13043478260869565;1.0;0.28125;0.0;0.0;0.0
17;0;0;0;0.0;0.7391304347826086;0.0;0.0;0.0;0.0;0.2
11;0;0;0;0.0;0.4782608695652174;0.0;0.0;0.0;0.0;0.0
6;0;0;0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
23;0;1;0;0.0;1.0;0.0;0.03125;0.0;0.0;0.0
22;0;2;0;0.0;0.9565217391304348;0.0;0.0625;0.0;0.0;0.0
17;0;3;0;0.0;0.7391304347826086;0.0;0.09375;0.0;0.0;0.0
5;0;0;0;0.0;0.21739130434782608;0.0;0.0;0.0;0.0;0.0
16;0;3;0;0.0;0.6956521739130435;0.0;0.09375;0.0;0.0;0.0
11;30;1;0;0.0;0.4782608695652174;1.0;0.03125;0.0;0.0;0.0
23;30;0;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
3;0;10;0;0.2;0.13043478260869565;0.0;0.3125;0.0;0.12738853503184713;0.2
6;30;0;0;0.0;0.2608695652173913;1.0;0.0;0.0;0.0;0.0
19;0;6;0;0.0;0.8260869565217391;0.0;0.1875;0.0;0.0;0.0
19;0;1;0;0.0;0.8260869565217391;0.0;0.03125;0.0;0.0;0.0
19;0;1;0;0.79;0.8260869565217391;0.0;0.03125;0.0;0.5031847133757962;0.79
20;30;0;0;0.0;0.8695652173913043;1.0;0.0;0.0;0.0;0.0
20;30;9;0;0.0;0.8695652173913043;1.0;0.28125;0.0;0.0;0.0
6;30;1;0;0.0;0.2608695652173913;1.0;0.03125;0.0;0.0;0.0
16;30;23;0;0.0;0.6956521739130435;1.0;0.71875;0.0;0.0;0.0
21;30;0;0;0.2;0.9130434782608695;1.0;0.0;0.0;0.12738853503184713;0.0
21;30;0;0;0.79;0.9130434782608695;1.0;0.0;0.0;0.5031847133757962;0.79
22;0;13;0;0.0;0.9565217391304348;0.0;0.40625;0.0;0.0;0.0
11;30;0;0;0.0;0.4782608695652174;1.0;0.0;0.0;0.0;0.0
16;30;0;0;0.2;0.6956521739130435;1.0;0.0;0.0;0.12738853503184713;0.0
13;30;1;0;0.0;0.5652173913043478;1.0;0.03125;0.0;0.0;0.0
12;0;0;0;0.0;0.5217391304347826;0.0;0.0;0.0;0.0;0.2
19;30;5;0;0.0;0.8260869565217391;1.0;0.15625;0.0;0.0;0.0
0;30;5;0;0.0;0.0;1.0;0.15625;0.0;0.0;0.0
12;30;0;0;0.2;0.5217391304347826;1.0;0.0;0.0;0.12738853503184713;0.0
16;30;5;0;0.2;0.6956521739130435;1.0;0.15625;0.0;0.12738853503184713;0.0
13;30;1;0;0.0;0.5652173913043478;1.0;0.03125;0.0;0.0;0.0
18;30;1;0;0.0;0.782608695652174;1.0;0.03125;0.0;0.0;0.0
15;0;1;0;0.0;0.6521739130434783;0.0;0.03125;0.0;0.0;0.0
13;0;2;0;0.0;0.5652173913043478;0.0;0.0625;0.0;0.0;0.0
15;0;2;0;0.0;0.6521739130434783;0.0;0.0625;0.0;0.0;0.0
15;0;2;0;0.0;0.6521739130434783;0.0;0.0625;0.0;0.0;0.0
